gene_key,symbol,entrez_id,ensembl_gene_id,alias_symbol,prev_symbol,status,replacement_gene_keys
9606|hgnc|HGNC:5,A1BG,1,ENSG00000121410,,,approved,
9606|hgnc|HGNC:37133,A1BG-AS1,503538,ENSG00000268895,FLJ23569,NCRNA00181;A1BGAS;A1BG-AS,approved,
9606|hgnc|HGNC:24086,A1CF,29974,ENSG00000148584,ACF;ASP;ACF64;ACF65;APOBEC1CF,,approved,
9606|hgnc|HGNC:7,A2M,2,ENSG00000175899,FWP007;S863-7;CPAMD5,,approved,
9606|hgnc|HGNC:27057,A2M-AS1,144571,ENSG00000245105,,,approved,
9606|hgnc|HGNC:23336,A2ML1,144568,ENSG00000166535,FLJ25179;p170,CPAMD9,approved,
9606|hgnc|HGNC:41022,A2ML1-AS1,100874108,ENSG00000256661,,,approved,
9606|hgnc|HGNC:41523,A2ML1-AS2,106478979,ENSG00000256904,,,approved,
9606|hgnc|HGNC:8,A2MP1,3,ENSG00000256069,,A2MP,approved,
9606|hgnc|HGNC:30005,A3GALT2,127550,ENSG00000184389,IGBS3S;IGB3S,A3GALT2P,approved,
9606|hgnc|HGNC:18149,A4GALT,53947,ENSG00000128274,A14GALT;Gb3S;P(k),P1,approved,
9606|hgnc|HGNC:17968,A4GNT,51146,ENSG00000118017,alpha4GnT,,approved,
9606|hgnc|HGNC:13666,AAAS,8086,ENSG00000094914,,,approved,
9606|hgnc|HGNC:21298,AACS,65985,ENSG00000081760,FLJ12389;SUR-5;ACSF1,,approved,
9606|hgnc|HGNC:18226,AACSP1,729522,ENSG00000250420,,AACSL,approved,
9606|hgnc|HGNC:17,AADAC,13,ENSG00000114771,DAC;CES5A1,,approved,
9606|hgnc|HGNC:24427,AADACL2,344752,ENSG00000197953,MGC72001,,approved,
9606|hgnc|HGNC:50301,AADACL2-AS1,101928142,ENSG00000242908,,,approved,
9606|hgnc|HGNC:32037,AADACL3,126767,ENSG00000188984,OTTHUMG00000001887,,approved,
9606|hgnc|HGNC:32038,AADACL4,343066,ENSG00000204518,OTTHUMG00000001889,,approved,
9606|hgnc|HGNC:50305,AADACP1,201651,ENSG00000240602,,,approved,
9606|hgnc|HGNC:17929,AADAT,51166,ENSG00000109576,KATII;KAT2;KYAT2,,approved,
9606|hgnc|HGNC:25662,AAGAB,79719,ENSG00000103591,FLJ11506;p34,,approved,
9606|hgnc|HGNC:19679,AAK1,22848,ENSG00000115977,KIAA1048;DKFZp686K16132,,approved,
9606|hgnc|HGNC:30205,AAMDC,28971,ENSG00000087884,PTD015;FLJ21035;CK067,C11orf67,approved,
9606|hgnc|HGNC:18,AAMP,14,ENSG00000127837,,,approved,
9606|hgnc|HGNC:19,AANAT,15,ENSG00000129673,SNAT,,approved,
9606|hgnc|HGNC:15886,AAR2,25980,ENSG00000131043,bA234K24.2,C20orf4,approved,
9606|hgnc|HGNC:33842,AARD,441376,ENSG00000205002,LOC441376,C8orf85,approved,
9606|hgnc|HGNC:20,AARS1,16,ENSG00000090861,CMT2N;AlaRS,AARS,approved,
9606|hgnc|HGNC:49894,AARS1P1,106480683,ENSG00000249038,,AARSP1,approved,
9606|hgnc|HGNC:21022,AARS2,57505,ENSG00000124608,KIAA1270;bA444E17.1,AARSL,approved,
9606|hgnc|HGNC:28417,AARSD1,80755,ENSG00000266967,MGC2744;AlaXp,,approved,
9606|hgnc|HGNC:54994,AARSD1P1,117981788,ENSG00000234969,,,approved,
9606|hgnc|HGNC:23993,AASDH,132949,ENSG00000157426,NRPS998;LYS2;ACSF4,,approved,
9606|hgnc|HGNC:14235,AASDHPPT,60496,ENSG00000149313,LYS5;CGI-80;AASD-PPT;ACPS,,approved,
9606|hgnc|HGNC:58262,AASDHPPT-AS1,,ENSG00000254433,,,approved,
9606|hgnc|HGNC:17366,AASS,10157,ENSG00000008311,LORSDH;LKRSDH;LKR/SDH,,approved,
9606|hgnc|HGNC:51526,AATBC,284837,ENSG00000215458,,,approved,
9606|hgnc|HGNC:19235,AATF,26574,ENSG00000275700,DED;CHE-1;CHE1;BFR2,,approved,
9606|hgnc|HGNC:21,AATK,9625,ENSG00000181409,AATYK;KIAA0641;LMTK1;LMR1;AATYK1;PPP1R77,,approved,
9606|hgnc|HGNC:22,AAVS1,17,,AAV,,approved,
9606|hgnc|HGNC:49667,ABALON,103021294,ENSG00000281376,INXS,,approved,
9606|hgnc|HGNC:23,ABAT,18,ENSG00000183044,GABAT;GABA-T,,approved,
9606|hgnc|HGNC:29,ABCA1,19,ENSG00000165029,TGD,ABC1;HDLDT1,approved,
9606|hgnc|HGNC:32,ABCA2,20,ENSG00000107331,,ABC2,approved,
9606|hgnc|HGNC:33,ABCA3,21,ENSG00000167972,ABC-C;EST111653;LBM180,ABC3,approved,
9606|hgnc|HGNC:55707,ABCA3P1,342293,ENSG00000257408,,,approved,
9606|hgnc|HGNC:34,ABCA4,24,ENSG00000198691,FFM;ARMD2;CORD3,STGD1;ABCR;RP19;STGD,approved,
9606|hgnc|HGNC:35,ABCA5,23461,ENSG00000154265,EST90625,,approved,
