seqcol_digest,refget_digest,alias,alias_kind,sequence_accession
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-2wMOKUhahXlOxSf7hjSCWQ12S1-iF96,GL383543.1,genbank_accession,GL383543.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-2wMOKUhahXlOxSf7hjSCWQ12S1-iF96,NW_003315932.1,refseq_accession,NW_003315932.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-2wMOKUhahXlOxSf7hjSCWQ12S1-iF96,HG544_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-4RHunVErOdAntqQMJf9mzg5McCgBdjz,GL383579.1,genbank_accession,GL383579.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-4RHunVErOdAntqQMJf9mzg5McCgBdjz,NW_003315968.1,refseq_accession,NW_003315968.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-4RHunVErOdAntqQMJf9mzg5McCgBdjz,HSCHR21_2_CTG1_1,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-BOZ8Esn8J88qDwNiSEwUr5425UXdiGX,CM000672.1,genbank_accession,CM000672.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-BOZ8Esn8J88qDwNiSEwUr5425UXdiGX,NC_000010.10,refseq_accession,NC_000010.10
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-BOZ8Esn8J88qDwNiSEwUr5425UXdiGX,10,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-BOZ8Esn8J88qDwNiSEwUr5425UXdiGX,chr10,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-bIfz9v4udbclsaZpxRQ59nTjEQuHn-q,GL383580.1,genbank_accession,GL383580.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-bIfz9v4udbclsaZpxRQ59nTjEQuHn-q,NW_003315969.1,refseq_accession,NW_003315969.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-bIfz9v4udbclsaZpxRQ59nTjEQuHn-q,HSCHR21_3_CTG1_1,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-tZxgs19OuQcNfkbfnbNm8SmkdKpdBK4,JH806602.1,genbank_accession,JH806602.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-tZxgs19OuQcNfkbfnbNm8SmkdKpdBK4,NW_004070892.1,refseq_accession,NW_004070892.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.-tZxgs19OuQcNfkbfnbNm8SmkdKpdBK4,HG1463_PATCH,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.105bBysLoDFQHhajooTAUyUkNiZ8LJEH,CM000674.1,genbank_accession,CM000674.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.105bBysLoDFQHhajooTAUyUkNiZ8LJEH,NC_000012.11,refseq_accession,NC_000012.11
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.105bBysLoDFQHhajooTAUyUkNiZ8LJEH,12,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.105bBysLoDFQHhajooTAUyUkNiZ8LJEH,chr12,ucsc,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.10yp1VWMurzO9zF1l7rhscuh_oRLSTew,GL582966.2,genbank_accession,GL582966.2
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.10yp1VWMurzO9zF1l7rhscuh_oRLSTew,NW_003571033.2,refseq_accession,NW_003571033.2
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.10yp1VWMurzO9zF1l7rhscuh_oRLSTew,HSCHR2_2_CTG12,seqcol_name,
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1OPXbmGj5JKtFNm-eRp0W270cgBgsTly,GL000223.1,genbank_accession,GL000223.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1OPXbmGj5JKtFNm-eRp0W270cgBgsTly,NT_167217.1,refseq_accession,NT_167217.1
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,SQ.1OPXbmGj5JKtFNm-eRp0W270cgBgsTly,HSCHRUN_RANDOM_CTG15,seqcol_name,
