seqcol_digest,sequence_index,name,refget_digest,length
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,0,NC_000001.10,SQ.S_KjnFVz-FE7M0W6yoaUDgYxLPc1jyWU,249250621
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,1,NT_113878.1,SQ.aX54PSRCZbj0EVn5QAH4zoO72gsmSTO8,106433
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,2,NT_167207.1,SQ.udMJQEKIyWPe8YGW1Dws6IHk_1NbkY9Y,547496
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,3,NC_000002.11,SQ.9KdcA9ZpY1Cpvxvg8bMSLYDUpsX6GDLO,243199373
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,4,NC_000003.11,SQ.VNBualIltAyi2AI_uXcKU7M9XUOuA7MS,198022430
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,5,NC_000004.11,SQ.iy7Zfceb5_VGtTQzJ-v5JpPbpeifHD_V,191154276
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,6,NT_113885.1,SQ.be3_RQlT0dXc4jYLkbEiRC6HSl7u1FjF,189789
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,7,NT_113888.1,SQ.WyYCLC4VxJvbBz2b_wBWF5BdQotiUVdB,191469
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,8,NC_000005.9,SQ.vbjOdMfHJvTjK_nqvFvpaSKhZillW0SX,180915260
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,9,NC_000006.11,SQ.KqaUhJMW3CDjhoVtBetdEKT1n6hM-7Ek,171115067
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,10,NC_000007.13,SQ.IW78mgV5Cqf6M24hy52hPjyyo5tCCd86,159138663
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,11,NT_113901.1,SQ.2LEWMcieZGf9Sx4VpEeWSDcULUVHGm0w,182896
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,12,NC_000008.10,SQ.tTm7wmhz0G4lpt8wPspcNkAD_qiminj6,146364022
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,13,NT_113909.1,SQ.ogs0_fByd3Mv6KgbGnhjdlP8-XQkfLm1,38914
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,14,NT_113907.1,SQ.KHkBYmlg-UJaE9sUI912zBlzdGD2BBEF,37175
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,15,NC_000009.11,SQ.HBckYGQ4wYG9APHLpjoQ9UUe9v7NxExt,141213431
XJWKh8nsSqBFfcU0DIHMZohYyCWF-vcA,16,NT_113914.1,SQ.eGGFNElJYIEvmIdJSxYMOtJwtAeQjUAh,90085
